@relation TargetMail

@attribute CustomerKey numeric
@attribute GeographyKey numeric
@attribute FirstName string
@attribute MiddleName string
@attribute LastName string
@attribute BirthDate date yyyy-MM-dd
@attribute MaritalStatus {M,S}
@attribute Gender {M,F}
@attribute EmailAddress string
@attribute YearlyIncome numeric
@attribute TotalChildren numeric
@attribute NumberChildrenAtHome numeric
@attribute EnglishEducation {Bachelors,'Partial College','High School','Partial High School','Graduate Degree'}
@attribute EnglishOccupation {Professional,Clerical,'Skilled Manual',Management}
@attribute HouseOwnerFlag numeric
@attribute NumberCarsOwned numeric
@attribute DateFirstPurchase date yyyy-MM-dd
@attribute CommuteDistance {'5-10 Miles','2-5 Miles','1-2 Miles','0-1 Miles','10+ Miles'}
@attribute Region {'North America',Pacific}
@attribute Age numeric
@attribute BikeBuyer {1,0}

@data
11015.5,26,Jon,V,Yang,1966-04-08,M,M,jon24@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,2005-07-22,'1-2 Miles',Pacific,46,1
11015.5,37,Eugene,L,Huang,1965-05-14,S,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Professional,0,1,2005-07-18,'0-1 Miles',Pacific,47,1
11015.5,31,Ruben,?,Torres,1965-08-12,M,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Professional,1,1,2005-07-10,'2-5 Miles',Pacific,47,1
11015.5,11,Christy,?,Zhu,1968-02-15,S,F,christy12@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,2005-07-01,'5-10 Miles',Pacific,44,1
11015.5,19,Elizabeth,?,Johnson,1968-08-08,S,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,2005-07-26,'1-2 Miles',Pacific,44,1
11015.5,22,Julio,?,Ruiz,1965-08-05,S,M,julio1@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,2005-07-02,'5-10 Miles',Pacific,47,1
11015.5,8,Janet,G,Alvarez,1965-12-06,S,F,janet9@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,2005-07-27,'5-10 Miles',Pacific,46,1
11015.5,40,Marco,?,Mehta,1964-05-09,M,M,marco14@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,2005-07-12,'0-1 Miles',Pacific,48,1
11015.5,32,Rob,?,Verhoff,1964-07-07,S,F,rob4@adventure-works.com,60000,4,4,Bachelors,Professional,1,3,2005-07-28,'10+ Miles',Pacific,48,1
11015.5,25,Shannon,C,Carlson,1964-04-01,S,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,2005-07-30,'5-10 Miles',Pacific,48,1
